event_id,mid_price,relative_spread,ofi_level_1,confidence,prediction,actual,primary_regime
1281,1997384.0,0.0013307406087162009,188.0,0.9888404011726379,2,1,PRICE_REVERSAL
1285,1999485.0,0.0013293423056437033,157.0,0.9848520159721375,2,0,HIGH_VOLATILITY
643,1998571.0,0.0013299502494532344,104.0,0.9845600128173828,2,1,NORMAL
1282,1998052.0,0.001330295708019611,155.0,0.9827735424041748,2,0,HIGH_LIQUIDITY
410,1999200.0,0.00132953181272509,94.0,0.9805357456207275,2,0,ORDER_FLOW_SHOCK
644,1997895.0,0.0013304002462591878,-62.0,0.979086697101593,2,1,PRICE_REVERSAL
813,1998966.0,0.0013296874484108284,112.0,0.9781961441040039,2,1,HIGH_LIQUIDITY
409,1999095.0,0.0013296016447442468,-183.0,0.9778594374656677,2,0,HIGH_LIQUIDITY
647,1998100.0,0.0013302637505630348,138.0,0.9755066633224487,2,1,NORMAL
411,1999491.0,0.001329338316601575,140.0,0.9753916263580322,2,0,HIGH_LIQUIDITY
827,1999433.0,0.0013293768783450108,132.0,0.9735010862350464,2,1,NORMAL
770,2000180.0,0.0013288804007639313,78.0,0.969519317150116,2,0,NORMAL
736,2000659.0,0.0013285622387423344,-71.0,0.9670595526695251,0,2,ORDER_FLOW_SHOCK
408,1999120.0,0.0013295850174076594,-120.0,0.9663487672805786,2,0,NORMAL
1000,2000313.0,0.0013287920440451068,-99.0,0.963740885257721,0,2,NORMAL
407,1999820.0,0.001329119620765869,64.0,0.9633249640464783,2,0,NORMAL
1287,2000135.0,0.0013289102985548475,143.0,0.962372899055481,2,0,HIGH_VOLATILITY
1384,2001319.0,0.0013281241021546291,121.0,0.959038257598877,0,2,NORMAL
766,1998925.0,0.0013297147216628938,91.0,0.9589315056800842,2,1,NORMAL
1385,2000959.0,0.0013283630499175646,-78.0,0.9555687308311462,0,2,NORMAL
765,1998840.0,0.0013297712673350543,105.0,0.9545872211456299,2,1,NORMAL
412,1999909.0,0.0013290604722514874,118.0,0.9544609189033508,2,0,NORMAL
1387,2000333.0,0.001328778758336737,-129.0,0.9536278247833252,0,2,NORMAL
994,2000704.0,0.001328532356610473,-126.0,0.9535950422286987,0,2,NORMAL
993,2000968.0,0.001328357075175615,96.0,0.9513135552406311,0,2,STRONG_UPTREND
