symbol,company,verification_date,target_date,baseline_close,actual_open,actual_high,actual_low,actual_close,change_pct,predicted_bias,predicted_direction,actual_direction,direction_match,support_s1,resistance_r1,tested_s1,tested_r1,volume
MOREPENLAB.NS,Morepen Laboratories Ltd,2026-09-07,2026-09-07,113.74,115.96,122.14,114.56,118.88,4.52,DOWN_OR_CONSOLIDATION,DOWN,UP,MISS (INCORRECT),111.7,118.0,False,True,21583656
OMAXE.NS,Omaxe Ltd,2026-09-07,2026-09-07,136.38,134.0,136.56,128.39,129.82,-4.81,BULLISH_TESTING_RESISTANCE,UP_WITH_WHIPSAW,DOWN,MISS (INCORRECT),127.0,138.9,False,False,2494929
ATHERENERG.NS,Ather Energy Ltd,2026-09-07,2026-09-07,1584.0,1575.0,1618.0,1561.1,1599.3,0.97,CORRECTIVE_TESTING_20SMA,DOWN,UP,MISS (INCORRECT),1535.0,1640.0,False,False,3787172
HFCL.NS,HFCL Ltd,2026-09-07,2026-09-07,231.44,239.0,243.01,237.61,243.01,5.0,BULLISH_REBOUND_CONTINUATION,UP,UP,MATCH (CORRECT),227.5,238.7,False,True,4664200
WELCORP.NS,Welspun Corp Ltd,2026-09-07,2026-09-07,2590.6,2584.9,2674.8,2536.8,2597.9,0.28,OVERBOUGHT_CONSOLIDATION,DOWN,UP,MATCH (CONSOLIDATION),2560.0,2662.0,True,True,1503187
MOREPENLAB.NS,Morepen Laboratories Ltd,2026-09-09,2026-09-09,117.16,117.04,118.5,113.68,116.54,-0.53,BULLISH_MOMENTUM_CONTINUATION,UP,DOWN,MISS (INCORRECT),114.59,121.14,True,False,12520925
OMAXE.NS,Omaxe Ltd,2026-09-09,2026-09-09,127.58,128.9,128.9,120.77,121.36,-4.88,BULLISH_MOMENTUM_CONTINUATION,UP,DOWN,MISS (INCORRECT),125.24,130.89,True,False,1137935
ATHERENERG.NS,Ather Energy Ltd,2026-09-09,2026-09-09,1578.0,1577.0,1599.6,1572.8,1580.0,0.13,BULLISH_MOMENTUM_CONTINUATION,UP,UP,MATCH (CORRECT),1559.53,1604.93,False,False,1668845
HFCL.NS,HFCL Ltd,2026-09-09,2026-09-09,250.76,249.5,254.0,240.65,245.43,-2.13,BULLISH_MOMENTUM_CONTINUATION,UP,DOWN,MISS (INCORRECT),245.79,255.44,True,False,6810939
WELCORP.NS,Welspun Corp Ltd,2026-09-09,2026-09-09,2599.5,2602.9,2652.0,2586.1,2608.5,0.35,BULLISH_MOMENTUM_CONTINUATION,UP,UP,MATCH (CORRECT),2569.43,2635.63,False,True,759833
PCJEWELLER.NS,PC Jeweller Ltd,2026-09-09,2026-09-09,13.52,13.6,14.08,13.45,13.87,2.59,BULLISH_MOMENTUM_CONTINUATION,UP,UP,MATCH (CORRECT),12.99,14.25,False,False,697475553
^NSEI,NIFTY 50 Benchmark Index,2026-09-09,2026-09-09,23635.1,23522.05,23571.55,23431.5,23431.5,-0.86,CORRECTIVE_CONSOLIDATION_PULLBACK,DOWN,DOWN,MATCH (CORRECT),23585.82,23721.67,True,False,0
